ANALYSES AU LABORATOIRE DE BIOLOGIE MEDICALE;;;;;
Analyses ;PrÇlävement;B code;Prix 2026;Tube de prÇlävement;Typologie Analyses
ACIDE URIQUE;"SÇrum ou Plasma hÇparinÇ
en fonction du rÇactif ";10;2 000 F?CFA;Tube sec rouge ou Tube vert;Biochimie
ALBUMINE;"SÇrum ou Plasma hÇparinÇ
";10;2 000 F?CFA;Tube sec rouge ou Tube vert;Biochimie
BILAN LIPIDIQUE (cholestÇrol total, HDL, LDL, triglycÇrides);SÇrum ou Plasma ;90;18 000 F?CFA;Tube sec rouge ou Tube vert;Biochimie
BILIRUBINE Directe;SÇrum ou Plasma hÇparinÇ;15;3 000 F?CFA;Tube sec rouge ou Tube vert;Biochimie
BILIRUBINE TOTALE;SÇrum ou Plasma hÇparinÇ;15;3 000 F?CFA;Tube sec rouge ou Tube vert;Biochimie
CALCIUM Ca++;SÇrum, plasma;20;4 000 F?CFA;Tube sec rouge ou Tube vert;Biochimie
"CHIMIE URINAIRE, (Leucocytes- Nitrites - Urobilinogäne - ProtÇines - pH - Sang - DensitÇ
- Corps cÇtoniques - Bilirubine
- Glucose)";Urines;60;12 000 F?CFA;Pot urinaire;Biochimie
CHOLESTêROL TOTAL;SÇrum;10;2 000 F?CFA;Tube sec rouge ;Biochimie
CHOLESTêROL HDL;;30;6 000 F?CFA;Tube sec rouge ;Biochimie
CHOLESTêROL LDL DOSAGE;;30;6 000 F?CFA;Tube sec rouge ;Biochimie
CREATININE;SÇrum;10;2 000 F?CFA;Tube sec rouge ;Biochimie
CRP C Reactive Protein (rÇaction inflammatoire);SÇrum, Plasma EDTA, hÇparinÇ;40;8 000 F?CFA;Tube sec rouge ou Tube vert ou Tube violet;Biochimie
CRP C Reactive Protein (rÇaction inflammatoire);SÇrum, Plasma EDTA, hÇparinÇ;40;8 000 F?CFA;Tube sec rouge ou Tube vert ou Tube violet;Hormonologie
"IONOGRAMME COMPLET (Na+,
K+, CL-, Ph, Mg++, Ca++)
Sodium, Potassium, Chlore, Phosphore, MagnÇsium, Calcium)";SÇrum, plasma;115;23 000 F?CFA;Tube sec rouge ou Tube vert;Biochimie
"IONOGRAMME SIMPLE (Na+, K+, CL-)
Sodium, Potassium, Chlore";SÇrum;35;7 000 F?CFA;Tube sec rouge ;Biochimie
MAGNESIUM Mg++;SÇrum ou Plasma hÇparinÇ;20;4 000 F?CFA;Tube sec rouge ou Tube vert;Biochimie
PHOSPHORE Ph;SÇrum ou plasma hÇparinÇ;15;3 000 F?CFA;Tube sec rouge ou Tube vert;Biochimie
POTASSIUM K+;SÇrum ou plasma hÇparinÇ;35;7 000 F?CFA;Tube sec rouge ou Tube vert;Biochimie
SODIUM Na+;SÇrum ou plasma hÇparinÇ;35;7 000 F?CFA;Tube sec rouge ou Tube vert;Biochimie
ELECTROPHORESE DE L'HEMOGLOBINE (EHB);Sang total EDTA;60;12 000 F?CFA;Tube EDTA;Biochimie
ELECTROPHORESE PROTEINES;SÇrum;70;14 000 F?CFA;Tube sec rouge ;Biochimie
FER SERIQUE;SÇrum;30;6 000 F?CFA;Tube sec rouge ;Biochimie
G6PDH  (G6PD);Sang total EDTA;50;10 000 F?CFA;Tube EDTA;Biochimie
"GAMMA GT (GGTS)
GH";SÇrum;25;5 000 F?CFA;Tube sec rouge ;Biochimie
PAL (Phosphatase Alcaline);SÇrum;25;5 000 F?CFA;Tube sec rouge ;Biochimie
GLYCEMIE A JEUN;Plasma fluorure de Sodium (Na+)/oxalate de Potassium (K+), sÇrum, plasma hÇparinÇ;10;2 000 F?CFA;Tube gris ou Tube vert ou Tube rouge;Biochimie
GLYCEMIE POST PRANDIALE;;10;2 000 F?CFA;Tube gris ou Tube vert ou Tube rouge;Biochimie
"HCG GROSSESSE (HCG
totale)";SÇrum, plasma;30;6 000 F?CFA;Tube sec rouge ;Paillase 
"HCG GROSSESSE (HCG
totale)";SÇrum, plasma;100;20 000 F?CFA;Tube sec rouge ;Hormonologie
TOTAL PROTEINES;SÇrum, plasma hÇparinÇ;10;2 000 F?CFA;Tube sec rouge ou Tube vert;Biochimie
"SGOT/SGPT(TRANSAMINASES)
ASAT/ALAT";SÇrum ou plasma hÇparinÇ;45;9 000 F?CFA;Tube sec rouge;Biochimie
TRIGLYCERIDES;SÇrum ou plasma hÇparinÇ;20;4 000 F?CFA;Tube sec rouge;Biochimie
UREE;SÇrum;10;2 000 F?CFA;Tube sec rouge;Biochimie
VITESSE DE SEDIMENTATION;Sang total EDTA;10;2 000 F?CFA;Tube EDTA ou Tube noir;HÇmatologie
"GROUPE SANGUIN (ABO-RH)
CARTE DE GROUPE";Sang total EDTA;35;7 000 F?CFA;Tube EDTA;HÇmatologie
"NUMERATION FORMULE SANGUINE 
(NFS)";Sang total EDTA;30;6 000 F?CFA;Tube EDTA;HÇmatologie
PALUDISME + Quantification (GE);Sang Total EDTA;25;5 000 F?CFA;Goutte de sang sur lame;Parasitologie
Taux de RETICULOCYTES;Sang Total EDTA;10;2 000 F?CFA;Goutte de sang sur lame;HÇmatologie
"TAUX DE PROTHROMBINE (TP)
/TEMPS DE QUICK (TQ) & TCK & FIB";Plasma citratÇ pauvre en plaquettes;25;5 000 F?CFA;Tube Blue;HÇmostase
ASLO;SÇrum;35;7 000 F?CFA;Tube sec rouge;SÇrologie
HEPATITE A (IgM);SÇrum;70;14 000 F?CFA;Tube sec rouge;SÇrologie
HEPATITE B Ag HBS;SÇrum;70;14 000 F?CFA;Tube sec rouge;SÇrologie
HEPATITE C Ac Anti-HCV;SÇrum;70;14 000 F?CFA;Tube sec rouge;SÇrologie
HERPES (IgG, IgM);SÇrum;70;14 000 F?CFA;Tube sec rouge;SÇrologie
FACTEUR RHUMATOIDE;SÇrum;60;12 000 F?CFA;Tube sec rouge;SÇrologie
SYPHILIS (TPHA - VDRL) - BW;LCR, Plasma, SÇrum;40;8 000 F?CFA;Tube sec rouge;SÇrologie
GONOCOQUE (Recherche);PU, PCV;120;24 000 F?CFA;Collecte;BactÇriologie
VIH 1 & VIH 2;SÇrum;70;14 000 F?CFA;Tube sec rouge;SÇrologie
TOXOPLASMOSE;SÇrum;60;12 000 F?CFA;Tube sec rouge;SÇrologie
RUBEOLE;SÇrum;30;6 000 F?CFA;Tube sec rouge;SÇrologie
CHLAMYDIA TRACHOMATIS;Expectorations;150;30 000 F?CFA;Tube sec rouge;SÇrologie
EXAMEN CYTOBACTERIOLOGIQUE;Liquide de ponction;70;14 000 F?CFA;Collecte;BactÇriologie
EXAMEN CYTOBACTERIOLOGIQUE;Cervico-vaginal (PCV);70;14 000 F?CFA;Collecte;BactÇriologie
EXAMEN CYTOBACTERIOLOGIQUE;"Pus Aspiration prÇfÇrable Ecouvillonnage par
dÇfaut";70;14 000 F?CFA;Collecte;BactÇriologie
EXAMEN CYTOBACTERIOLOGIQUE;Urines (ECBU);70;14 000 F?CFA;Collecte;BactÇriologie
EXAMEN CYTOBACTERIOLOGIQUE;PU;70;14 000 F?CFA;Collecte;BactÇriologie
EXAMEN CYTOBACTERIOLOGIQUE;PrÇlävements cutanÇs ;70;14 000 F?CFA;Collecte;BactÇriologie
HEMOCULTURE;Sang total sur flacons spÇciaux (2 Ö 3 flacons sur 24H);70;14 000 F?CFA;Collecte;BactÇriologie
"COPROCULTURE
(Recherche de Salmonelle, shigelle, campylobacter, EschÇrichia Coli pathogäne)";Selles fraåches, Çcouvillon rectal;70;14 000 F?CFA;Pot de selles;BactÇriologie
HEMOGLOBINE HbA1C;Sang total EDTA;60;12 000 F?CFA;Tube EDTA;Hormonologie
SELLES : KAOP;Selles fraiches;50;10 000 F?CFA;Pot de selles;BactÇriologie
SPERMOCULTURE;Sperme;70;14 000 F?CFA;Collecte;BactÇriologie
SPERMOGRAMME;Sperme;70;14 000 F?CFA;Tube EDTA;BactÇriologie
PSA Total ;Sang total EDTA;70;14 000 F?CFA;Tube EDTA;Hormonologie
PSA libre;Sang total EDTA;100;20 000 F?CFA;Tube EDTA;Hormonologie
TSH;Sang total EDTA;100;20 000 F?CFA;Tube EDTA;Hormonologie
T3;Sang total EDTA;100;20 000 F?CFA;Tube EDTA;Hormonologie
T4;SÇrum;100;20 000 F?CFA;Tube sec rouge;Hormonologie
?strogäne ;Sang total EDTA;100;20 000 F?CFA;Tube sec rouge;Hormonologie
ProgestÇrone;Sang total EDTA;100;20 000 F?CFA;Tube sec rouge;Hormonologie
TestostÇrone;Sang total EDTA;100;20 000 F?CFA;Tube sec rouge;Hormonologie
FSH;Sang total EDTA;100;20 000 F?CFA;Tube sec rouge;Hormonologie
LH;Sang total EDTA;100;20 000 F?CFA;Tube sec rouge;Hormonologie
Mycoplasme;PrÇlävement gÇnital;360;72 000 F?CFA;Collecte;BactÇriologie
Procalcitonine (PCT);Plasma EDTA, Plasma hÇparinÇ, serum;248;49 600 F?CFA;Tube EDTA;Hormonologie
