ACIDE URIQUE | JUL-LAB-000 | service
ALBUMINE | JUL-LAB-001 | service
ALBUMINE/SUCRE | JUL-LAB-002 | service
ASLO | JUL-LAB-044 | service
Ablation buchons | JUL-SVC-0015 | service
Ablation d'un frein de langue | JUL-SVC-0034 | service
Ablation petite lipome | JUL-SVC-0028 | service
Acide borique - 12mg/18mg par ml - 20 unidoses | JUL-MED-OPH-0052 | physical
Acide borique - 12mg/18mg par ml - 20 unidoses | JUL-MED-OPH-0062 | physical
Acide folique - 0,4 mg - 30 comprimés | JUL-MED-SP-0090 | physical
Acide folique CCD - 30 comprimés | JUL-MED-SF-0123 | physical
Alcool Modifié 70% - Alcool modifié 70% vol - Bidon 5l | JUL-MED-AE-0098 | physical
Alcool isopropylique 70% - Alcool | JUL-MED-AE-0138 | physical
Alginate de sodium (générique Gaviscon) - 24 sachets de 10 ml | JUL-MED-AE-0003 | physical
Alginate de sodium (générique Gaviscon) - 500mg/267 mg 24 - sachets de 10 ml | JUL-MED-AE-0055 | physical
Alginate de sodium (générique Gaviscon) - 500mg/267 mg 24 - sachets de 10 ml | JUL-MED-AE-0066 | physical
Alginate de sodium (générique Gaviscon) - 500mg/267 mg 24 - sachets de 10 ml | JUL-MED-AE-0072 | physical
Alginate de sodium (générique Gaviscon) - 500mg/267 mg 24 - sachets de 10 ml | JUL-MED-AE-0076 | physical
Alginate de sodium (générique Gaviscon) - 500mg/267 mg 24 - sachets de 10 ml | JUL-MED-AE-0079 | physical
Alginate de sodium (générique Gaviscon) - 500mg/267 mg 24 - sachets de 10 ml | JUL-MED-AE-0080 | physical
Alginate de sodium (générique Gaviscon) - 500mg/267 mg 24 - sachets de 10 ml | JUL-MED-AE-0081 | physical
Alginate de sodium - 24 sachets de 10 ml | JUL-MED-MG-0140 | physical
Alginate de sodium - 24 sachets de 10 ml | JUL-MED-MG-0141 | physical
Alginate de sodium - 24 sachets de 10 ml | JUL-MED-MG-0142 | physical
Amoxiciline - 1g - 6 comprimés | JUL-MED-ANT-0065 | physical
Amoxiciline - 500mg/5 ml | JUL-MED-ANT-0069 | physical
Amoxiciline - Clamoxyl - 500Mg - 12 gélules | JUL-MED-ANT-0057 | physical
Attelle plâtrée/Plâtre | JUL-SVC-0035 | service
BILAN LIPIDIQUE | JUL-LAB-003 | service
BILIRUBINE DIRECTE | JUL-LAB-004 | service
BILIRUBINE TOTALE | JUL-LAB-005 | service
Betadine Alcoolique 5% - Povidone Iodée | JUL-MED-AE-0097 | physical
Betadine Dermique 10% - Povidone Iodée | JUL-MED-AE-0096 | physical
Betadine Scrub 4% - Povidone Iodée | JUL-MED-AE-0095 | physical
Bilan HTA/Diabète | JUL-LAB-077 | service
Bilan Prénatal | JUL-LAB-078 | service
Biopsie du sein | JUL-SVC-0032 | service
Biopsie endométrial | JUL-SVC-0031 | service
Biopsie prostate | JUL-SVC-0030 | service
CALCIUM Ca++ (sérum) | JUL-LAB-006 | service
CALCIUM Ca++ (urines) | JUL-LAB-007 | service
CHIMIE URINAIRE | JUL-LAB-008 | service
CHLAMYDIA TRACHOMATIS | JUL-LAB-054 | service
CHOLESTÉROL HDL | JUL-LAB-010 | service
CHOLESTÉROL LDL | JUL-LAB-011 | service
CHOLESTÉROL TOTAL | JUL-LAB-009 | service
COPROCULTURE | JUL-LAB-063 | service
CRP (C Reactive Protein) | JUL-LAB-014 | service
CRÉATININE (sérum) | JUL-LAB-012 | service
CRÉATININE (urines) | JUL-LAB-013 | service
Carbosylane - 45 mg - 140mg / 48 doses | JUL-MED-ANT-0011 | physical
Charlottes | JUL-MED-MG-0026 | physical
Chlorhexidine - Chlorhexidine en bidon de 2l | JUL-MED-AE-0113 | physical
Chlorhexidine incolore 2% - Chlorhexidine incolore 2% 500ml | JUL-MED-AE-0111 | physical
Circonsition 0 à 2 ans | JUL-SVC-0027 | service
Circonsition 3 ans et + | JUL-SVC-0037 | service
Compresses - 10 sachets de 2 compresses | JUL-MED-AE-0120 | physical
Compresses de Gaze stériles - 10 cm x 10 cm _ 50 sachets | JUL-MED-MG-0083 | physical
Compresses de Gaze stériles - 10 cm x 10 cm _ 50 sachets | JUL-MED-MG-0088 | physical
Compresses de Gaze stériles - 17 fils, 8 plis - 10 cm x 10 cm _ 10 sachets | JUL-MED-MG-0087 | physical
Compresses de Gaze stériles - 17 fils, 8 plis - 10 cm x 10 cm _ 46 sachets | JUL-MED-MG-0086 | physical
Compresses de Gaze stériles - 17 fils, 8 plis - 10 cm x 10 cm _ 50 sachets | JUL-MED-MG-0085 | physical
Coveram - 90 comprimés 5mg / 10 mg | JUL-MED-ANT-0139 | physical
Dafalgan - 1g - 8 comprimés | JUL-MED-AE-0002 | physical
Dafalgan codéine - 500 mg/30 mg- 16 comprimés pélliculés | JUL-MED-AE-0043 | physical
Dakin - Antiseptique | JUL-MED-MG-0094 | physical
Diclofénac - Gel en flacon pressurisé | JUL-MED-MG-0050 | physical
Doliprane - 1000 mg - 8 comprimés | JUL-MED-AE-0004 | physical
Doliprane - 1000 mg - 8 comprimés | JUL-MED-AE-0005 | physical
Doliprane - 1000 mg - 8 comprimés | JUL-MED-AE-0007 | physical
Doliprane - 1000 mg - 8 comprimés | JUL-MED-AE-0009 | physical
Doliprane - 1000 mg - 8 comprimés | JUL-MED-AE-0021 | physical
Doliprane - 1000 mg - 8 comprimés | JUL-MED-AE-0064 | physical
Doliprane - 1000 mg - 8 comprimés | JUL-MED-AE-0074 | physical
Doliprane - 1000 mg - 8 comprimés | JUL-MED-AE-0075 | physical
Doliprane - 200 mg - 12 sachets-dose poudre | JUL-MED-AE-0034 | physical
Doliprane - 300 mg - 12 sachets-dose poudre | JUL-MED-AE-0031 | physical
Doliprane - 300 mg - 12 sachets-dose poudre | JUL-MED-AE-0039 | physical
Doliprane - 300 mg - 12 sachets-dose poudre | JUL-MED-AE-0040 | physical
Doliprane - 8 comprimés | JUL-MED-AE-0126 | physical
Doliprane - 8 comprimés | JUL-MED-AE-0127 | physical
Doliprane - 8 comprimés | JUL-MED-AE-0128 | physical
Doliprane - 8 comprimés | JUL-MED-AE-0129 | physical
Doliprane - 8 comprimés | JUL-MED-AE-0130 | physical
Doliprane - Flacon de 100 ml | JUL-MED-AE-0001 | physical
Doliprane - Flacon de 100 ml | JUL-MED-AE-0030 | physical
Doliprane - Flacon de 100 ml | JUL-MED-AE-0032 | physical
Doliprane - Flacon de 100 ml | JUL-MED-AE-0116 | physical
Drap d'examen blanc 50cmx50m plastifiée - Drap d'examen | JUL-MED-AE-0110 | physical
Drap pour lit | JUL-SVC-0005 | service
ECBU (Examen Cytobact. Urines) | JUL-LAB-061 | service
ECBU (Examen Cytobact. général) | JUL-LAB-055 | service
EXAMEN CYTOBACT. Cervico-vaginal | JUL-LAB-058 | service
EXAMEN CYTOBACT. Frottis gorge | JUL-LAB-056 | service
EXAMEN CYTOBACT. Liquide ponction | JUL-LAB-057 | service
EXAMEN CYTOBACT. Nez | JUL-LAB-060 | service
EXAMEN CYTOBACT. Pus | JUL-LAB-059 | service
EXAMEN CYTOBACT. Urétral | JUL-LAB-062 | service
Eau oxygénée - Stabilisée 10 volumes | JUL-MED-MG-0093 | physical
Econazole 1% - Flacon de 30g | JUL-MED-ANT-0125 | physical
Esoméprazole - 20 mg - 28 gélules gastrorésistantes | JUL-MED-ID-0042 | physical
Extraction corsp étranger | JUL-SVC-0024 | service
FACTEUR RHUMATOÏDE | JUL-LAB-049 | service
FER SÉRIQUE | JUL-LAB-027 | service
FSH | JUL-LAB-075 | service
Forfait VIP deux lits | JUL-SVC-0007 | service
Forfait concentrateur / Heure | JUL-SVC-0009 | service
Forfait simple deux lits | JUL-SVC-0006 | service
Frais churigicaux | JUL-SVC-0025 | service
G6PDH (G6PD) | JUL-LAB-028 | service
GAMMA GT (GGTS) | JUL-LAB-029 | service
GLYCÉMIE POST PRANDIALE | JUL-LAB-032 | service
GLYCÉMIE À JEUN | JUL-LAB-031 | service
GROUPE SANGUIN (ABO-RH) | JUL-LAB-039 | service
Gaviscon - 500mg/267 mg 24 - sachets de 10 ml | JUL-MED-AE-0037 | physical
Gaviscon - 500mg/267 mg 24 - sachets de 10 ml | JUL-MED-AE-0054 | physical
Grande cheloïdectomie | JUL-SVC-0019 | service
Gynositol Plus - Myo-inositol Vitamine B9 - Boîte de 30 sachets | JUL-MED-GYN-0092 | physical
H Pylori | JUL-LAB-080 | service
HCG GROSSESSE | JUL-LAB-033 | service
